Property ID,Region,Province,District,Locality,PostalCode,Street,Price,PropertyType,PropertySubtype,ConstructionYear,StateBuilding,KitchenType,FacadeCount,FloorCount,EPCScore,HasTerrace,HasGarden,HasKitchen,Open_fire,SwimmingPool,Furnished,BedroomCount,LivingArea,Terrace_Area,Garden_Area,LandWidth,LandSurface,ScrapedURL,PriceType,TypeSale,LifeAnnuitySale
20238495,Flanders,Limburg,Tongeren,HEERS,3870,Vechmaallaan,320000,HOUSE,HOUSE,1949,GOOD,INSTALLED,4,,B,0,0,1,0,0,0,3.0,182,,,0,307,https://www.immoweb.be/en/classified/house/for-sale/heers/3870/20238495,residential_sale,FOR_SALE,0
20238494,Flanders,Limburg,Hasselt,DIEPENBEEK,3590,Kerklaan,750000,HOUSE,MIXED_USE_BUILDING,1988,GOOD,INSTALLED,3,,D,1,0,1,0,0,0,5.0,498,35,,0,563,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/diepenbeek/3590/20238494,residential_sale,FOR_SALE,0
20238488,Flanders,Limburg,Tongeren,HEERS,3870,Nieuwe Steenweg,239000,HOUSE,HOUSE,,,NOT_INSTALLED,3,,F,0,0,1,0,0,0,4.0,240,,,0,770,https://www.immoweb.be/en/classified/house/for-sale/heers/3870/20238488,residential_sale,FOR_SALE,0
20238493,Flanders,Limburg,Tongeren,TONGEREN,3700,Hemelingenstraat,449000,APARTMENT,APARTMENT,,,INSTALLED,3,,C,0,0,1,0,0,0,3.0,345,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/tongeren/3700/20238493,residential_sale,FOR_SALE,0
20238486,Flanders,East Flanders,Gent,MERELBEKE,9820,Hundelgemsesteenweg,520000,HOUSE,HOUSE,2024,,,3,,,1,1,0,0,0,0,4.0,166,30,326,10,449,https://www.immoweb.be/en/classified/house/for-sale/merelbeke/9820/20238486,residential_sale,FOR_SALE,0
20238490,Wallonie,Walloon Brabant,Nivelles,Orp-Jauche,1350,Rue Fernand Henrioulle,375000,HOUSE,HOUSE,1989,AS_NEW,USA_HYPER_EQUIPPED,4,1,D,1,1,1,0,0,0,3.0,148,30,860,27,1248,https://www.immoweb.be/en/classified/house/for-sale/orp-jauche/1350/20238490,residential_sale,FOR_SALE,0
20238480,Wallonie,Walloon Brabant,Nivelles,BOUSVAL,1470,,775000,HOUSE,HOUSE,1972,TO_RENOVATE,INSTALLED,4,,D,0,0,1,1,0,0,4.0,361,,,0,6406,https://www.immoweb.be/en/classified/house/for-sale/bousval/1470/20238480,residential_sale,FOR_SALE,0
20238478,Flanders,West Flanders,Kortrijk,Harelbeke,8530,Tamboerijnstraat,411300,HOUSE,HOUSE,2024,AS_NEW,,2,3,A,0,1,0,0,0,0,3.0,220,,1,0,271,https://www.immoweb.be/en/classified/house/for-sale/harelbeke/8530/20238478,residential_sale,FOR_SALE,0
20238487,Flanders,Limburg,Tongeren,WELLEN,3830,De Rijten,209000,APARTMENT,SERVICE_FLAT,2017,GOOD,SEMI_EQUIPPED,2,,A,1,0,1,0,0,0,1.0,72,9,,,,https://www.immoweb.be/en/classified/service-flat/for-sale/wellen/3830/20238487,residential_sale,FOR_SALE,0
20204019,Brussels,Brussels,Brussels,BERCHEM-SAINTE-AGATHE,1082,Rue des Combattants,395000,HOUSE,OTHER_PROPERTY,1935,GOOD,,,2,G,1,1,0,0,0,0,2.0,165,15,75,0,165,https://www.immoweb.be/en/classified/other-property/for-sale/berchem-sainte-agathe/1082/20204019,residential_sale,FOR_SALE,0
20204025,Brussels,Brussels,Brussels,Elsene,1050,Woudlaan,495000,APARTMENT,APARTMENT,2014,GOOD,INSTALLED,,,B,1,0,1,0,0,1,2.0,89,15,,,,https://www.immoweb.be/en/classified/apartment/for-sale/elsene/1050/20204025,residential_sale,FOR_SALE,0
20203938,Brussels,Brussels,Brussels,SCHAERBEEK,1030,,275000,APARTMENT,APARTMENT,1900,TO_BE_DONE_UP,HYPER_EQUIPPED,,4,G,0,0,1,0,0,0,3.0,165,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/20203938,residential_sale,FOR_SALE,0
