Property ID,Locality,PostalCode,Price,PropertyType,PropertySubtype,TypeSale,BedroomCount,LivingArea,Kitchen,Furnished,Open_fire,Terrace_Area,Garden_Area,FacadeCount,SwimmingPool,StateBuilding,LifeAnnuitySale,RoomCount,ToiletCount,BathroomCount,ShowerCount,ScrapedURL
20206365,Schaerbeek,1030,395000.0,APARTMENT,LOFT,FOR_SALE,2,159.0,0,0,0,,,2.0,0,AS_NEW,0,,,1.0,,https://www.immoweb.be/en/classified/loft/for-sale/schaerbeek/1030/20206365
20234518,MOL,2400,319000.0,APARTMENT,APARTMENT,FOR_SALE,3,106.0,1,0,0,,,2.0,0,JUST_RENOVATED,0,,0.0,1.0,0.0,https://www.immoweb.be/en/classified/apartment/for-sale/mol/2400/20234518
20234516,MOL,2400,315000.0,APARTMENT,APARTMENT,FOR_SALE,2,104.0,1,0,0,,62.0,2.0,0,JUST_RENOVATED,0,,0.0,1.0,0.0,https://www.immoweb.be/en/classified/apartment/for-sale/mol/2400/20234516
20234512,Chastre-villeroux-blanmont,1450,275000.0,HOUSE,HOUSE,FOR_SALE,6,302.0,1,0,0,36.0,151.0,4.0,0,TO_RENOVATE,0,29.0,2.0,2.0,,https://www.immoweb.be/en/classified/house/for-sale/chastre-villeroux-blanmont/1450/20234512
20234510,AALST,9300,249000.0,APARTMENT,APARTMENT,FOR_SALE,2,80.0,1,0,0,,,2.0,0,GOOD,0,,1.0,1.0,0.0,https://www.immoweb.be/en/classified/apartment/for-sale/aalst/9300/20234510
20234509,Grobbendonk,2280,328000.0,HOUSE,HOUSE,FOR_SALE,2,92.0,0,0,0,,,3.0,0,,0,,,1.0,,https://www.immoweb.be/en/classified/house/for-sale/grobbendonk/2280/20234509
20234501,Bruxelles,1000,350000.0,APARTMENT,APARTMENT,FOR_SALE,2,92.0,1,0,0,24.0,,3.0,0,GOOD,0,,1.0,1.0,1.0,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20234501
20234493,Bruxelles,1000,275000.0,APARTMENT,APARTMENT,FOR_SALE,2,79.0,1,0,0,7.0,,2.0,0,GOOD,0,,1.0,1.0,,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20234493
20234490,Ixelles,1050,565000.0,APARTMENT,APARTMENT,FOR_SALE,2,100.0,1,0,0,4.0,,2.0,0,,0,,1.0,1.0,0.0,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20234490
20234489,Ixelles,1050,485000.0,APARTMENT,APARTMENT,FOR_SALE,2,78.0,1,0,0,7.0,,2.0,0,,0,,1.0,1.0,0.0,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20234489
20234488,OUDENAARDE,9700,435000.0,HOUSE,EXCEPTIONAL_PROPERTY,FOR_SALE,4,333.0,1,0,0,,700.0,3.0,0,TO_RENOVATE,0,,2.0,1.0,0.0,https://www.immoweb.be/en/classified/exceptional-property/for-sale/oudenaarde/9700/20234488
20234487,MECHELEN,2800,299000.0,APARTMENT,APARTMENT,FOR_SALE,2,76.0,1,0,0,,,2.0,0,JUST_RENOVATED,0,,1.0,1.0,0.0,https://www.immoweb.be/en/classified/apartment/for-sale/mechelen/2800/20234487
20234486,MECHELEN,2800,284000.0,APARTMENT,APARTMENT,FOR_SALE,1,54.0,1,0,0,10.0,,2.0,0,JUST_RENOVATED,0,,1.0,1.0,1.0,https://www.immoweb.be/en/classified/apartment/for-sale/mechelen/2800/20234486
20234479,Uccle,1180,398000.0,APARTMENT,DUPLEX,FOR_SALE,3,154.0,1,0,0,,,2.0,0,AS_NEW,0,,1.0,1.0,,https://www.immoweb.be/en/classified/duplex/for-sale/uccle/1180/20234479
20234478,Oostakker,9041,450000.0,HOUSE,HOUSE,FOR_SALE,3,204.0,1,0,0,10.0,350.0,4.0,0,JUST_RENOVATED,0,,2.0,1.0,,https://www.immoweb.be/en/classified/house/for-sale/oostakker/9041/20234478
20234477,Nieuwerkerken,9320,199000.0,HOUSE,MANOR_HOUSE,FOR_SALE,4,150.0,1,0,0,,,4.0,0,TO_RENOVATE,0,,1.0,1.0,0.0,https://www.immoweb.be/en/classified/manor-house/for-sale/nieuwerkerken/9320/20234477
20234474,Antwerpen Berchem,2600,285000.0,APARTMENT,APARTMENT,FOR_SALE,2,100.0,1,0,0,9.0,,2.0,0,GOOD,0,,1.0,1.0,,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen%20berchem/2600/20234474
20234473,Wilrijk,2610,399000.0,HOUSE,HOUSE,FOR_SALE,3,115.0,1,0,0,,,2.0,0,AS_NEW,0,,2.0,1.0,,https://www.immoweb.be/en/classified/house/for-sale/wilrijk/2610/20234473
