Property ID,Region,Province,District,Locality,PostalCode,Street,Price,PriceType,PropertyType,PropertySubtype,TypeSale,BedroomCount,LivingArea,KitchenType,Furnished,Open_fire,SwimmingPool,Terrace_Area,Garden_Area,FacadeCount,FloorCount,ConstructionYear,StateBuilding,LandWidth,LandSurface,EPCScore,LifeAnnuitySale,ScrapedURL
20229531,Brussels,Brussels,Brussels,Woluwe-Saint-Lambert,1200,Avenue Victor Gilsoul,650000,residential_sale,HOUSE,APARTMENT_BLOCK,FOR_SALE,4,145,HYPER_EQUIPPED,0,0,0,,,2,3,1930,AS_NEW,0,120,C,0,https://www.immoweb.be/en/classified/apartment-block/for-sale/woluwe-saint-lambert/1200/20229531
20243578,Flanders,East Flanders,Sint-Niklaas,Lokeren,9160,Oude-Bruglaan,240000,residential_sale,HOUSE,HOUSE,FOR_SALE,2,80,,0,0,0,,,2,,1918,AS_NEW,0,90,C,0,https://www.immoweb.be/en/classified/house/for-sale/lokeren/9160/20243578
20000602,Flanders,Flemish Brabant,Halle-Vilvoorde,VILVOORDE,1800,,349000,residential_sale,HOUSE,HOUSE,FOR_SALE,3,165,SEMI_EQUIPPED,0,0,0,13,80,3,,1959,TO_RENOVATE,9,169,E,0,https://www.immoweb.be/en/classified/house/for-sale/vilvoorde/1800/20000602
20242750,Flanders,West Flanders,Kortrijk,Wevelgem,8560,Brugstraat,175000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,1,47,,0,0,0,,,,2,1963,GOOD,,,B,0,https://www.immoweb.be/en/classified/apartment/for-sale/wevelgem/8560/20242750
20242860,Flanders,Antwerp,Mechelen,Lier,2500,Boomlaarstraat,399000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,2,,,0,0,0,,,,,1995,GOOD,,,B,0,https://www.immoweb.be/en/classified/apartment/for-sale/lier/2500/20242860
20229362,Brussels,Brussels,Brussels,Uccle,1180,Klipveldstraat,950000,residential_sale,HOUSE,HOUSE,FOR_SALE,4,193,INSTALLED,0,0,0,1,150,3,2,2013,AS_NEW,5,275,A++,0,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20229362
20229354,Brussels,Brussels,Brussels,IXELLES,1050,,335000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,1,85,INSTALLED,0,0,0,15,,2,3,,,,,D,0,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20229354
20209968,Brussels,Brussels,Brussels,Uccle,1180,,345000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,2,93,SEMI_EQUIPPED,0,0,0,,,2,2,,AS_NEW,,,E,0,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20209968
20243571,Flanders,Flemish Brabant,Halle-Vilvoorde,Bever,1547,,199000,residential_sale,HOUSE,HOUSE,FOR_SALE,2,,INSTALLED,0,0,0,,,,,1959,,6,220,D,0,https://www.immoweb.be/en/classified/house/for-sale/bever/1547/20243571
20241482,Flanders,Flemish Brabant,Halle-Vilvoorde,Halle,1500,Beukenstraat,350000,residential_sale,HOUSE,HOUSE,FOR_SALE,3,140,,0,0,0,,,3,3,1974,GOOD,0,372,D,0,https://www.immoweb.be/en/classified/house/for-sale/halle/1500/20241482
20242741,Flanders,Antwerp,Mechelen,Hombeek,2811,Bergenstraat,622549,residential_sale,HOUSE,HOUSE,FOR_SALE,4,203,INSTALLED,0,0,0,,235,,,,GOOD,0,351,,0,https://www.immoweb.be/en/classified/house/for-sale/hombeek/2811/20242741
20238166,Brussels,Brussels,Brussels,Molenbeek-Saint-Jean,1080,,489000,residential_sale,HOUSE,HOUSE,FOR_SALE,5,210,HYPER_EQUIPPED,0,0,0,10,80,2,2,1974,AS_NEW,0,177,F,0,https://www.immoweb.be/en/classified/house/for-sale/molenbeek-saint-jean/1080/20238166
20203734,Brussels,Brussels,Brussels,Ixelles,1050,,1090000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,3,219,USA_UNINSTALLED,0,0,0,12,,3,7,1960,AS_NEW,,,C,0,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20203734
20229267,Brussels,Brussels,Brussels,ANDERLECHT,1070,Avenue Pierre Beyst,549000,residential_sale,HOUSE,VILLA,FOR_SALE,5,230,SEMI_EQUIPPED,0,0,0,,,3,2,1960,,0,385,F,0,https://www.immoweb.be/en/classified/villa/for-sale/anderlecht/1070/20229267
20242735,Flanders,West Flanders,Ieper,Geluwe,8940,Zuidstraat,169000,residential_sale,HOUSE,HOUSE,FOR_SALE,3,165,INSTALLED,0,0,0,,,,,1930,TO_RENOVATE,0,250,E,0,https://www.immoweb.be/en/classified/house/for-sale/geluwe/8940/20242735
20229264,Brussels,Brussels,Brussels,Ixelles,1050,Avenue des Grenadiers,195000,residential_sale,APARTMENT,FLAT_STUDIO,FOR_SALE,0,42,,0,0,0,12,,4,3,1975,GOOD,,,E,0,https://www.immoweb.be/en/classified/flat-studio/for-sale/ixelles/1050/20229264
20242891,Flanders,West Flanders,Brugge,Assebroek,8310,Benedictijnenstraat,415000,residential_sale,HOUSE,HOUSE,FOR_SALE,3,138,,0,0,0,,,,,2024,GOOD,0,226,,0,https://www.immoweb.be/en/classified/house/for-sale/assebroek/8310/20242891
20238021,Brussels,Brussels,Brussels,Woluwe-Saint-Lambert,1200,Avenue de Tervueren,1150000,residential_sale,APARTMENT,PENTHOUSE,FOR_SALE,3,198,HYPER_EQUIPPED,0,0,0,18,,3,5,1912,AS_NEW,,,B,0,https://www.immoweb.be/en/classified/penthouse/for-sale/woluwe-saint-lambert/1200/20238021
20238034,Brussels,Brussels,Brussels,Sint-Agata-Berchem,1082,Klein Berchemstraat,295000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,3,110,INSTALLED,0,0,0,22,,4,7,,TO_BE_DONE_UP,,,D,0,https://www.immoweb.be/en/classified/apartment/for-sale/sint-agata-berchem/1082/20238034
20229131,Brussels,Brussels,Brussels,Evere,1140,,169000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,1,55,SEMI_EQUIPPED,0,0,0,10,,4,12,,,,,,0,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/20229131
20243563,Flanders,East Flanders,Dendermonde,Zele,9240,Langemuntstraat,299000,residential_sale,HOUSE,HOUSE,FOR_SALE,4,179,INSTALLED,0,0,0,,,3,,1930,TO_RENOVATE,13,360,F,0,https://www.immoweb.be/en/classified/house/for-sale/zele/9240/20243563
20243544,Wallonie,Liège,Liège,Lanaye,4600,Rue Henri Collard,130000,residential_sale,HOUSE,HOUSE,FOR_SALE,2,140,SEMI_EQUIPPED,0,0,0,,163,3,1,1870,TO_RENOVATE,15,350,G,0,https://www.immoweb.be/en/classified/house/for-sale/lanaye/4600/20243544
20242727,Flanders,East Flanders,Gent,Merelbeke,9820,Fraterstraat,499000,residential_sale,APARTMENT,DUPLEX,FOR_SALE,3,133,INSTALLED,0,0,0,,,,2,2018,GOOD,,,A,0,https://www.immoweb.be/en/classified/duplex/for-sale/merelbeke/9820/20242727
20232650,Brussels,Brussels,Brussels,Ukkel,1180,Henri Van Zuylenstraat,290000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,2,80,,0,0,0,,,,,1964,,,,C,0,https://www.immoweb.be/en/classified/apartment/for-sale/ukkel/1180/20232650
20233067,Brussels,Brussels,Brussels,Woluwe-Saint-Pierre,1150,,280000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,2,83,HYPER_EQUIPPED,0,0,0,2,,2,3,1963,GOOD,,,F,0,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/20233067
20232649,Brussels,Brussels,Brussels,Ukkel,1180,Henri Van Zuylenstraat,290000,residential_sale,HOUSE,MIXED_USE_BUILDING,FOR_SALE,2,80,,0,0,0,,,,,1964,,0,0,C,0,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/ukkel/1180/20232649
20242754,Flanders,West Flanders,Roeselare,Rumbeke,8800,Rode-Beukenstraat,335000,residential_sale,HOUSE,HOUSE,FOR_SALE,3,148,,0,0,0,60,300,,,1976,,0,645,C,0,https://www.immoweb.be/en/classified/house/for-sale/rumbeke/8800/20242754
20241448,Flanders,West Flanders,Brugge,Knokke,8300,Bayauxlaan,1650000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,3,106,USA_HYPER_EQUIPPED,0,0,0,,,,3,2002,AS_NEW,,,B,0,https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20241448
20111352,Flanders,Antwerp,Turnhout,Geel,2440,Malosewaver,625000,residential_sale,HOUSE,HOUSE,FOR_SALE,6,219,,0,0,0,,,4,,1968,AS_NEW,0,11562,D,0,https://www.immoweb.be/en/classified/house/for-sale/geel/2440/20111352
20232934,Brussels,Brussels,Brussels,Anderlecht,1070,Rue Des Matériaux - Materiaalstraat,258000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,2,,USA_SEMI_EQUIPPED,0,0,0,1,1,2,2,2013,AS_NEW,,,B,0,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20232934
20232850,Brussels,Brussels,Brussels,Molenbeek-Saint-Jean,1080,Avenue Joseph Lemaire - Joseph Lemairelaan,195000,residential_sale,APARTMENT,PENTHOUSE,FOR_SALE,1,56,INSTALLED,0,0,0,22,,2,4,1975,GOOD,,,E,0,https://www.immoweb.be/en/classified/penthouse/for-sale/molenbeek-saint-jean/1080/20232850
20216292,Brussels,Brussels,Brussels,BRUSSEL,1000,NEGENDE LINIELAAN,225000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,1,61,INSTALLED,1,0,0,2,,2,7,2013,GOOD,,,D,0,https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/20216292
20151539,Flanders,West Flanders,Roeselare,Ingelmunster,8770,Kortrijkstraat,79000,residential_sale,HOUSE,HOUSE,FOR_SALE,0,116,NOT_INSTALLED,0,0,0,,,,,1850,TO_RENOVATE,8,183,F,0,https://www.immoweb.be/en/classified/house/for-sale/ingelmunster/8770/20151539
20241435,Flanders,East Flanders,Sint-Niklaas,SINT-NIKLAAS,9100,Stanislaw Maczekpark,785000,residential_sale,HOUSE,HOUSE,FOR_SALE,5,321,HYPER_EQUIPPED,0,0,0,,,3,2,2006,AS_NEW,0,406,B,0,https://www.immoweb.be/en/classified/house/for-sale/sint-niklaas/9100/20241435
20242746,Flanders,West Flanders,Kortrijk,Wevelgem,8560,Brugstraat,235000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,2,75,,0,0,0,9,,,2,1963,GOOD,,,B,0,https://www.immoweb.be/en/classified/apartment/for-sale/wevelgem/8560/20242746
20229399,Brussels,Brussels,Brussels,Forest,1190,Rue des Carburants,255000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,1,73,HYPER_EQUIPPED,0,0,0,7,,2,6,2024,AS_NEW,,,B,0,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/20229399
20216176,Brussels,Brussels,Brussels,Ixelles,1050,,1620000,residential_sale,HOUSE,HOUSE,FOR_SALE,4,,,0,0,0,,54,1,3,1911,GOOD,6,177,D,0,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/20216176
20242745,Flanders,Flemish Brabant,Leuven,Leuven,3000,Leeuwerikenstraat,250000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,1,53,,0,0,0,,,,8,,,,,C,0,https://www.immoweb.be/en/classified/apartment/for-sale/leuven/3000/20242745
20229366,Brussels,Brussels,Brussels,Evere,1140,,179000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,1,62,,0,0,0,,,,,,TO_RESTORE,,,E,0,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/20229366
20216125,Brussels,Brussels,Brussels,Neder-over-Heembeek,1120,Rue De Lombartzyde - Lombardsijdestraat,430000,residential_sale,HOUSE,HOUSE,FOR_SALE,2,,,0,0,0,,,4,,1964,GOOD,0,0,G,0,https://www.immoweb.be/en/classified/house/for-sale/neder-over-heembeek/1120/20216125
20229343,Brussels,Brussels,Brussels,WOLUWE-SAINT-LAMBERT,1200,,699000,residential_sale,HOUSE,HOUSE,FOR_SALE,3,213,HYPER_EQUIPPED,0,1,0,12,47,2,4,1900,AS_NEW,0,0,G,0,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-lambert/1200/20229343
20210010,Brussels,Brussels,Brussels,ETTERBEEK,1040,,475000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,3,170,,0,0,0,17,,,4,,,,,G,0,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/20210010
20093844,Flanders,West Flanders,Oostend,Oostende,8400,Stockholmstraat,179000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,2,79,,0,0,0,,,2,5,1966,GOOD,,,D,0,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20093844
20194727,Brussels,Brussels,Brussels,Molenbeek-Saint-Jean,1080,Avenue Julien Hanssens - Julien Hanssenslaan,229000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,0,75,USA_HYPER_EQUIPPED,0,0,0,4,,2,4,1936,AS_NEW,,,,0,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20194727
20216097,Brussels,Brussels,Brussels,Ixelles,1050,Avenue Louise,430000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,1,65,INSTALLED,0,0,0,18,,2,9,2019,AS_NEW,,,B,0,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20216097
20232443,Brussels,Brussels,Brussels,Ixelles,1050,Rue Kerckx,400000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,2,80,SEMI_EQUIPPED,1,0,0,,,3,3,2023,AS_NEW,,,B,0,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20232443
20232436,Brussels,Brussels,Brussels,IXELLES,1050,Avenue Molière,425000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,2,80,NOT_INSTALLED,0,0,0,,,3,7,1962,JUST_RENOVATED,,,B,0,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20232436
20232435,Brussels,Brussels,Brussels,UCCLE,1180,Avenue Winston Churchill,155000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,1,36,INSTALLED,0,0,0,,,2,7,1970,GOOD,,,B,0,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20232435
20229235,Brussels,Brussels,Brussels,Saint-Gilles,1060,,325000,residential_sale,APARTMENT,DUPLEX,FOR_SALE,3,172,,0,0,0,,,2,3,,TO_BE_DONE_UP,,,G,0,https://www.immoweb.be/en/classified/duplex/for-sale/saint-gilles/1060/20229235
20232396,Brussels,Brussels,Brussels,Ixelles,1050,Rue du Page,275000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,1,50,INSTALLED,0,0,0,,,2,4,,GOOD,,,F,0,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20232396
20003771,Brussels,Brussels,Brussels,Koekelberg,1081,Avenue Du Château - Kasteellaan,370000,residential_sale,APARTMENT,DUPLEX,FOR_SALE,3,120,INSTALLED,0,0,0,8,,2,2,1992,GOOD,,,E,0,https://www.immoweb.be/en/classified/duplex/for-sale/koekelberg/1081/20003771
20243070,Flanders,East Flanders,Gent,Gent,9000,Armand Heinsstraat,648000,residential_sale,HOUSE,APARTMENT_BLOCK,FOR_SALE,6,,,0,0,0,,,,,1935,,0,0,D,0,https://www.immoweb.be/en/classified/apartment-block/for-sale/gent/9000/20243070
20237973,Brussels,Brussels,Brussels,Saint-Josse-ten-Noode,1210,Rue Potagère,139000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,1,44,SEMI_EQUIPPED,0,0,0,,,2,5,1954,TO_BE_DONE_UP,,,F,0,https://www.immoweb.be/en/classified/apartment/for-sale/saint-josse-ten-noode/1210/20237973
20242732,Flanders,East Flanders,Gent,Merelbeke,9820,Jozef Hebbelynckstraat,425000,residential_sale,HOUSE,HOUSE,FOR_SALE,3,213,,0,0,0,,,,,2023,,0,223,,0,https://www.immoweb.be/en/classified/house/for-sale/merelbeke/9820/20242732
20242730,Flanders,East Flanders,Gent,Merelbeke,9820,Jozef Hebbelynckstraat,425000,residential_sale,HOUSE,HOUSE,FOR_SALE,3,213,,0,0,0,,,,,2023,,0,222,,0,https://www.immoweb.be/en/classified/house/for-sale/merelbeke/9820/20242730
20243065,Flanders,West Flanders,Roeselare,Roeselare,8800,Ardooisesteenweg,119000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,1,,,0,0,0,,,,,,,,,D,0,https://www.immoweb.be/en/classified/apartment/for-sale/roeselare/8800/20243065
20243067,Flanders,West Flanders,Oostend,Middelkerke,8430,Oostendelaan,271000,residential_sale,HOUSE,HOUSE,FOR_SALE,3,152,,0,0,0,85,85,,,,GOOD,0,283,F,0,https://www.immoweb.be/en/classified/house/for-sale/middelkerke/8430/20243067
20232429,Brussels,Brussels,Brussels,FOREST,1190,Chaussée d'Alsemberg,365000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,1,91,NOT_INSTALLED,0,0,0,2,,2,5,1935,TO_RENOVATE,,,C,0,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/20232429
